host_t,n,gx,gy,gz,ax,ay,az,temp
451776.030779,75185,28,-23,-6,-396,-292,8251,-1778
451776.039843,75186,30,-22,-11,-390,-293,8247,-1778
451776.050302,75187,22,-25,-6,-395,-276,8243,-1790
451776.060515,75188,22,-24,-10,-397,-282,8244,-1790
451776.072807,75189,24,-22,-6,-399,-286,8245,-1780
451776.079615,75190,28,-24,-5,-381,-282,8250,-1790
451776.089294,75191,27,-22,-6,-381,-297,8247,-1790
451776.099267,75192,31,-27,-7,-383,-276,8243,-1784
451776.109257,75193,24,-26,-9,-390,-277,8251,-1784
451776.118388,75194,27,-29,2,-384,-290,8254,-1786
451776.128402,75195,26,-24,-7,-391,-289,8252,-1786
451776.138360,75196,27,-27,-3,-392,-290,8253,-1788
451776.148346,75197,22,-23,-4,-392,-284,8257,-1788
451776.158374,75198,20,-22,-2,-389,-291,8246,-1786
451776.168291,75199,24,-22,-6,-393,-290,8251,-1786
451776.178833,75200,25,-25,-4,-392,-272,8252,-1784
451776.188565,75201,19,-24,-9,-395,-285,8240,-1784
451776.197394,75202,22,-20,-4,-388,-283,8241,-1784
451776.207411,75203,30,-26,-9,-390,-295,8246,-1786
451776.217388,75204,24,-24,-3,-389,-288,8252,-1786
451776.227395,75205,29,-26,-6,-400,-285,8255,-1790
451776.237391,75206,25,-21,-2,-383,-295,8248,-1790
451776.247369,75207,30,-21,-8,-391,-304,8228,-1782
451776.260074,75208,27,-24,-5,-391,-279,8282,-1782
451776.267314,75209,26,-25,0,-394,-297,8260,-1786
451776.277262,75210,25,-20,-6,-375,-256,8240,-1786
451776.286431,75211,21,-24,-6,-392,-296,8243,-1784
451776.296360,75212,28,-26,-2,-389,-276,8244,-1784
451776.306345,75213,30,-27,-6,-388,-283,8252,-1794
451776.316335,75214,24,-27,-7,-390,-292,8252,-1786
451776.326788,75215,30,-27,-5,-392,-283,8248,-1786
451776.336366,75216,20,-24,-7,-398,-285,8249,-1792
451776.346275,75217,32,-23,-3,-381,-281,8254,-1792
451776.356291,75218,26,-20,-4,-393,-279,8249,-1784
451776.365746,75219,33,-22,-5,-386,-286,8250,-1784
451776.375371,75220,31,-24,-8,-393,-292,8258,-1786
451776.385353,75221,27,-23,-5,-392,-275,8259,-1786
451776.395318,75222,34,-24,-7,-383,-289,8256,-1780
451776.405396,75223,28,-26,-5,-395,-288,8258,-1780
451776.415322,75224,26,-28,-7,-387,-290,8251,-1786
451776.425283,75225,29,-29,-7,-391,-284,8246,-1786
451776.435233,75226,25,-26,-8,-392,-294,8252,-1786
451776.444466,75227,31,-21,-6,-398,-287,8249,-1788
451776.456388,75228,32,-22,-3,-398,-286,8238,-1788
451776.464351,75229,29,-22,-3,-392,-284,8254,-1784
451776.474359,75230,27,-23,-2,-382,-288,8248,-1784
451776.484297,75231,26,-21,2,-396,-287,8243,-1784
451776.495061,75232,26,-19,-2,-393,-284,8250,-1784
451776.504459,75233,25,-25,-10,-385,-290,8247,-1782
451776.514355,75234,19,-26,-9,-383,-284,8254,-1782
